Boligtype & Adresse,Købesum,Dato & Type,m² & Kr. / m²,Vær.,Byggeår,Den procentuelle forskel mellem seneste udbudspris og salgsprisen %,Unnamed: 7
RækkehusRRækkehus Backersvej 9  2300 København S,9.250.000 kr.,09-11-2025Alm. Salg,123 m² 75.203 kr/m²,4,1905,-6%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Kongensgade 22, 1.  5960 Marstal",900.000 kr.,09-11-2025Alm. Salg,72 m² 12.500 kr/m²,3,1875,-18%,Aktuel værdi
VillaVVilla Eskærhøjvej 39L  6100 Haderslev,1.875.000 kr.,09-11-2025Alm. Salg,161 m² 11.646 kr/m²,6,1975,-6%,Aktuel værdi
VillaVVilla Rosmosevej 1B  3450 Allerød,4.700.000 kr.,09-11-2025Alm. Salg,157 m² 29.936 kr/m²,5,1972,-6%,Aktuel værdi
VillaVVilla Møllevej 15  9240 Nibe,1.700.000 kr.,09-11-2025Alm. Salg,132 m² 12.879 kr/m²,5,1967,,Aktuel værdi
VillaVVilla Hulvejen 9  5853 Ørbæk,608.000 kr.,09-11-2025Fam. Salg,96 m² 6.333 kr/m²,4,1962,,Aktuel værdi
"VillaVVilla Kukkebækvej 10, Pederstrup  8560 Kolind",140.000 kr.,09-11-2025Alm. Salg,120 m² 1.167 kr/m²,5,1964,180%,Aktuel værdi
VillaVVilla Bredevej 107A  2830 Virum,13.025.000 kr.,09-11-2025Alm. Salg,180 m² 72.361 kr/m²,5,2025,-3%,Aktuel værdi
"VillaVVilla Lundgærdet 11, Tved  6000 Kolding",2.450.000 kr.,09-11-2025Alm. Salg,124 m² 19.758 kr/m²,5,1975,,Aktuel værdi
FritidshusFFritidshus Lilletoften 8  4040 Jyllinge,2.710.000 kr.,09-11-2025Alm. Salg,105 m² 25.810 kr/m²,4,1961,-6%,Aktuel værdi
VillaVVilla Leandersvej 18  4293 Dianalund,1.700.000 kr.,09-11-2025Alm. Salg,128 m² 13.281 kr/m²,4,1976,,Aktuel værdi
VillaVVilla Eskelunden 10  4700 Næstved,3.812.500 kr.,09-11-2025Alm. Salg,135 m² 28.241 kr/m²,4,2022,-2%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Flakholmen 6, 2. th  2720 Vanløse",3.752.000 kr.,09-11-2025Alm. Salg,70 m² 53.600 kr/m²,2,1938,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Åfløjen 8, 2. th  2700 Brønshøj",1.903.000 kr.,09-11-2025Fam. Salg,74 m² 25.716 kr/m²,3,1958,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Godthåbsgade 11, 1.  5000 Odense C",2.400.000 kr.,09-11-2025Alm. Salg,75 m² 32.000 kr/m²,3,1899,-2%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Smakkegårdsvej 179, 2. mf  2820 Gentofte",2.795.000 kr.,09-11-2025Alm. Salg,63 m² 44.365 kr/m²,2,1946,,Aktuel værdi
"VillaVVilla Elmevej 12, Hammelev  6500 Vojens",800.000 kr.,09-11-2025Alm. Salg,148 m² 5.405 kr/m²,5,1968,,Aktuel værdi
"VillaVVilla Langelandsvej 101, Starup  6100 Haderslev",2.950.000 kr.,09-11-2025Alm. Salg,175 m² 16.857 kr/m²,6,2007,-2%,Aktuel værdi
VillaVVilla Vestermarksvej 17  2300 København S,9.650.000 kr.,09-11-2025Alm. Salg,177 m² 54.520 kr/m²,6,2009,-3%,Aktuel værdi
FritidshusFFritidshus Smedehaven 5  4400 Kalundborg,1.110.000 kr.,09-11-2025Alm. Salg,83 m² 13.373 kr/m²,3,1973,-7%,Aktuel værdi
VillaVVilla Graabjergvej 18  5856 Ryslinge,800.000 kr.,09-11-2025Alm. Salg,95 m² 8.421 kr/m²,5,1959,,Aktuel værdi
RækkehusRRækkehus Søndergade 77  6500 Vojens,840.000 kr.,09-11-2025Alm. Salg,105 m² 8.000 kr/m²,4,1961,-11%,Aktuel værdi
FritidshusFFritidshus Timianvej 13  4873 Væggerløse,1.900.000 kr.,09-11-2025Alm. Salg,55 m² 34.545 kr/m²,3,1972,-5%,Aktuel værdi
"VillaVVilla Mommarkvej 28, Vollerup  6400 Sønderborg",140.000 kr.,09-11-2025Alm. Salg,92 m² 1.522 kr/m²,3,1777,-53%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Ørskovvej 1D, Snejbjerg  7400 Herning",670.000 kr.,09-11-2025Alm. Salg,73 m² 9.178 kr/m²,3,1958,-4%,Aktuel værdi
"RækkehusRRækkehus Mejdalparken 32, Mejdal  7500 Holstebro",2.225.000 kr.,09-11-2025Alm. Salg,133 m² 16.729 kr/m²,4,2005,-3%,Aktuel værdi
"VillaVVilla Langengen 56, Svogerslev  4000 Roskilde",4.600.000 kr.,09-11-2025Alm. Salg,168 m² 27.381 kr/m²,5,1972,-8%,Aktuel værdi
VillaVVilla Vistoftvej 27  8471 Sabro,3.420.000 kr.,09-11-2025Alm. Salg,150 m² 22.800 kr/m²,5,1969,-2%,Aktuel værdi
"VillaVVilla Trehøjevej 5, Rugbjerg  6230 Rødekro",2.500.000 kr.,09-11-2025Alm. Salg,187 m² 13.369 kr/m²,5,1879,,Aktuel værdi
"EjerlejlighedEEjerlejlighed P.D. Løvs Allé 16, 2. tv  2200 København N",2.550.000 kr.,09-11-2025Fam. Salg,72 m² 35.417 kr/m²,3,1906,,Aktuel værdi
VillaVVilla Døvnældevej 4  4470 Svebølle,1.175.000 kr.,09-11-2025Alm. Salg,101 m² 11.634 kr/m²,3,1975,-9%,Aktuel værdi
FritidshusFFritidshus Pirupshvarrevej 64  9492 Blokhus,2.513.600 kr.,09-11-2025Fam. Salg,83 m² 30.284 kr/m²,4,1955,,Aktuel værdi
RækkehusRRækkehus Møllehaven 73  3550 Slangerup,2.455.000 kr.,09-11-2025Alm. Salg,90 m² 27.278 kr/m²,4,2004,,Aktuel værdi
"FritidshusFFritidshus Morsøvej 15, Amtoft  7742 Vesløs",1.176.000 kr.,09-11-2025Fam. Salg,114 m² 10.316 kr/m²,4,2010,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Udsigtsbakken 1, 1. 6  3460 Birkerød",1.200.000 kr.,09-11-2025Alm. Salg,162 m² 7.407 kr/m²,4,1944,,Aktuel værdi
RækkehusRRækkehus Nørregade 28  7700 Thisted,1.200.000 kr.,09-11-2025Alm. Salg,78 m² 15.385 kr/m²,3,1875,,Aktuel værdi
"VillaVVilla Helgasvej 7, Gram  8660 Skanderborg",2.402.903 kr.,09-11-2025Alm. Salg,188 m² 12.781 kr/m²,4,1974,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Ryetvej 55, 1. th  3500 Værløse",1.850.000 kr.,09-11-2025Alm. Salg,63 m² 29.365 kr/m²,2,1968,,Aktuel værdi
VillaVVilla Tjærebyvej 6  4690 Haslev,700.000 kr.,09-11-2025Alm. Salg,147 m² 4.762 kr/m²,3,1908,41%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Nørregade 3C, Kaas  9490 Pandrup",295.000 kr.,09-11-2025Alm. Salg,80 m² 3.688 kr/m²,2,1951,,Aktuel værdi
VillaVVilla Stenholt 47  6092 Sønder Stenderup,1.270.000 kr.,09-11-2025Alm. Salg,97 m² 13.093 kr/m²,4,1850,-2%,Aktuel værdi
"LandejendomLLandejendom Bagskovvej 8, Fuglse  4960 Holeby",375.000 kr.,09-11-2025Andet,115 m² 3.261 kr/m²,5,1963,,Aktuel værdi
"LandejendomLLandejendom Hjortebjergvej 30, Hjortebjerg  5471 Søndersø",790.000 kr.,09-11-2025Alm. Salg,171 m² 4.620 kr/m²,5,1928,,Aktuel værdi
"FritidshusFFritidshus Strandengen 9, Kulhuse  3630 Jægerspris",680.000 kr.,09-11-2025Alm. Salg,44 m² 15.455 kr/m²,1,1966,-7%,Aktuel værdi
RækkehusRRækkehus Boghvedemarken 57  2680 Solrød Strand,3.800.000 kr.,09-11-2025Alm. Salg,112 m² 33.929 kr/m²,4,1977,1%,Aktuel værdi
VillaVVilla Agervænget 38  4293 Dianalund,1.495.000 kr.,09-11-2025Alm. Salg,115 m² 13.000 kr/m²,4,1979,,Aktuel værdi
"FritidshusFFritidshus Klitdalen 11, Houvig  6950 Ringkøbing",1.750.000 kr.,09-11-2025Alm. Salg,88 m² 19.886 kr/m²,4,1962,-4%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Plantevej 5, 2. tv  2870 Dyssegård",2.600.000 kr.,09-11-2025Alm. Salg,58 m² 44.828 kr/m²,2,1948,,Aktuel værdi
"VillaVVilla Novej 13, No  6950 Ringkøbing",1.700.000 kr.,09-11-2025Alm. Salg,287 m² 5.923 kr/m²,5,1910,,Aktuel værdi
RækkehusRRækkehus Birkevænget 4  3060 Espergærde,3.017.500 kr.,09-11-2025Fam. Salg,144 m² 20.955 kr/m²,5,1962,,Aktuel værdi
"VillaVVilla Østervang 15, Svallerup  4400 Kalundborg",650.000 kr.,09-11-2025Alm. Salg,72 m² 9.028 kr/m²,3,1934,,Aktuel værdi
"VillaVVilla Sæddingvej 35, Sædding  6900 Skjern",1.827.500 kr.,09-11-2025Fam. Salg,282 m² 6.480 kr/m²,12,1912,,Aktuel værdi
EjerlejlighedEEjerlejlighed Roret 173  3070 Snekkersten,4.995.000 kr.,09-11-2025Alm. Salg,145 m² 34.448 kr/m²,4,2002,,Aktuel værdi
"FritidshusFFritidshus Fortunavej 6, Søndervig  6950 Ringkøbing",2.782.400 kr.,09-11-2025Fam. Salg,102 m² 27.278 kr/m²,5,1972,,Aktuel værdi
VillaVVilla Smidstrupvej 53  4720 Præstø,260.000 kr.,09-11-2025Alm. Salg,88 m² 2.955 kr/m²,3,1925,-12%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Rørkjærsgade 14, st. 25  6700 Esbjerg",650.000 kr.,09-11-2025Alm. Salg,56 m² 11.607 kr/m²,1,1974,-7%,Aktuel værdi
VillaVVilla Odinsvej 157  6500 Vojens,1.100.000 kr.,09-11-2025Alm. Salg,162 m² 6.790 kr/m²,6,1976,-4%,Aktuel værdi
VillaVVilla Lodsstræde 4  4874 Gedser,280.000 kr.,09-11-2025Alm. Salg,64 m² 4.375 kr/m²,3,1915,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Harløsevej 215F, 1.  3400 Hillerød",1.850.000 kr.,09-11-2025Alm. Salg,81 m² 22.840 kr/m²,3,1960,-7%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Amager Strandvej 142D, 2. tv  2300 København S",10.250.000 kr.,09-11-2025Alm. Salg,131 m² 78.244 kr/m²,4,2015,,Aktuel værdi
"VillaVVilla Hestehøjvej 36, Højby  5260 Odense S",1.700.000 kr.,09-11-2025Alm. Salg,116 m² 14.655 kr/m²,4,1963,,Aktuel værdi
"FritidshusFFritidshus Mathiases Toft 23, Sønderho  6720 Fanø",2.300.000 kr.,09-11-2025Alm. Salg,138 m² 16.667 kr/m²,5,2004,-8%,Aktuel værdi
VillaVVilla Vestermøllevej 12  8800 Viborg,1.604.800 kr.,09-11-2025Fam. Salg,153 m² 10.489 kr/m²,5,1944,,Aktuel værdi
VillaVVilla Tværmosen 3  3650 Ølstykke,7.500.000 kr.,09-11-2025Alm. Salg,195 m² 38.462 kr/m²,6,1903,3%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Musholmgade 6, 4. mf  2100 København Ø",6.300.000 kr.,09-11-2025Alm. Salg,83 m² 75.904 kr/m²,3,1999,-3%,Aktuel værdi
RækkehusRRækkehus Bryggerlodden 2B  4736 Karrebæksminde,2.495.000 kr.,09-11-2025Alm. Salg,106 m² 23.538 kr/m²,3,2018,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Ungarnsgade 15, 4. tv  2300 København S",3.795.000 kr.,09-11-2025Alm. Salg,62 m² 61.210 kr/m²,2,1916,,Aktuel værdi
VillaVVilla Anchersvej 54  7000 Fredericia,1.410.000 kr.,09-11-2025Alm. Salg,119 m² 11.849 kr/m²,4,1976,-9%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Frejasvej 12A, 1. tv  3460 Birkerød",5.445.000 kr.,09-11-2025Alm. Salg,125 m² 43.560 kr/m²,3,2021,-1%,Aktuel værdi
VillaVVilla Vejsgårdtoften 64  4241 Vemmelev,3.495.000 kr.,09-11-2025Alm. Salg,175 m² 19.971 kr/m²,5,2008,,Aktuel værdi
"VillaVVilla Ll. Torupvej 3, Ll. Torup  8832 Skals",550.000 kr.,09-11-2025Alm. Salg,185 m² 2.973 kr/m²,6,1923,-31%,Aktuel værdi
"VillaVVilla Vingevej 19, Ørum  8830 Tjele",435.000 kr.,09-11-2025Alm. Salg,77 m² 5.649 kr/m²,3,1960,,Aktuel værdi
VillaVVilla Ålholmparken 9  3400 Hillerød,4.900.000 kr.,09-11-2025Alm. Salg,147 m² 33.333 kr/m²,4,1969,-2%,Aktuel værdi
VillaVVilla Høve Klitbo 26  4550 Asnæs,2.750.000 kr.,09-11-2025Alm. Salg,137 m² 20.073 kr/m²,4,1978,-4%,Aktuel værdi
"FritidshusFFritidshus Harresbæk 28, Mommark  6470 Sydals",1.849.000 kr.,09-11-2025Alm. Salg,67 m² 27.597 kr/m²,5,1991,,Aktuel værdi
VillaVVilla Agertoften 11  3390 Hundested,2.795.000 kr.,09-11-2025Alm. Salg,146 m² 19.144 kr/m²,5,1991,,Aktuel værdi
VillaVVilla Egevej 5  3630 Jægerspris,2.300.000 kr.,09-11-2025Alm. Salg,126 m² 18.254 kr/m²,4,1959,-4%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Skovgyden 1A, st.  5960 Marstal",900.000 kr.,09-11-2025Alm. Salg,62 m² 14.516 kr/m²,6,1875,-18%,Aktuel værdi
VillaVVilla Øsby Nedergade 58  6100 Haderslev,2.295.000 kr.,09-11-2025Alm. Salg,182 m² 12.610 kr/m²,5,2018,,Aktuel værdi
RækkehusRRækkehus Allegade 13  3300 Frederiksværk,2.195.000 kr.,09-11-2025Fam. Salg,105 m² 20.905 kr/m²,3,1760,,Aktuel værdi
"FritidshusFFritidshus Brunbjergvej 59, Lodbj Hede  6950 Ringkøbing",1.456.000 kr.,09-11-2025Alm. Salg,65 m² 22.400 kr/m²,4,1978,4%,Aktuel værdi
RækkehusRRækkehus Frugtlunden 2  3450 Allerød,5.995.000 kr.,09-11-2025Alm. Salg,135 m² 44.407 kr/m²,4,2018,,Aktuel værdi
"FritidshusFFritidshus Berberisvej 98, Pirup  9492 Blokhus",1.575.000 kr.,09-11-2025Alm. Salg,63 m² 25.000 kr/m²,4,1985,-4%,Aktuel værdi
RækkehusRRækkehus H C Lumbyes Vej 77  7100 Vejle,1.600.000 kr.,09-11-2025Alm. Salg,100 m² 16.000 kr/m²,4,1987,-3%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Ved Egedam 13, 2. 94  3400 Hillerød",1.950.000 kr.,09-11-2025Alm. Salg,70 m² 27.857 kr/m²,2,1975,-2%,Aktuel værdi
RækkehusRRækkehus Platanvej 42D  7400 Herning,565.000 kr.,09-11-2025Alm. Salg,44 m² 12.841 kr/m²,2,1968,-5%,Aktuel værdi
VillaVVilla Syrenhaven 22  6040 Egtved,3.895.000 kr.,09-11-2025Alm. Salg,197 m² 19.772 kr/m²,5,2000,,Aktuel værdi
"FritidshusFFritidshus Fuutvej 24, Henneby  6854 Henne",814.400 kr.,09-11-2025Fam. Salg,50 m² 16.288 kr/m²,3,1972,,Aktuel værdi
"VillaVVilla Vestergade 34, Ulsted  9370 Hals",995.000 kr.,09-11-2025Alm. Salg,127 m² 7.835 kr/m²,5,1934,,Aktuel værdi
VillaVVilla Platanvej 12  2791 Dragør,4.500.000 kr.,09-11-2025Alm. Salg,108 m² 41.667 kr/m²,4,1986,,Aktuel værdi
"VillaVVilla Høllvej 119, Høll  7080 Børkop",2.095.000 kr.,09-11-2025Alm. Salg,150 m² 13.967 kr/m²,5,1973,,Aktuel værdi
"LandejendomLLandejendom Brogårdsvej 6, Meløse  3320 Skævinge",10.400.000 kr.,09-11-2025Alm. Salg,168 m² 61.905 kr/m²,6,1900,,Aktuel værdi
"VillaVVilla Hybenvej 3, Salten  8653 Them",870.000 kr.,09-11-2025Alm. Salg,83 m² 10.482 kr/m²,3,1983,-3%,Aktuel værdi
VillaVVilla Thestrupvej 4  8800 Viborg,3.150.000 kr.,09-11-2025Alm. Salg,175 m² 18.000 kr/m²,6,1925,-10%,Aktuel værdi
"FritidshusFFritidshus Pilevænget 29, Øer  8400 Ebeltoft",1.175.000 kr.,09-11-2025Alm. Salg,67 m² 17.537 kr/m²,3,1969,,Aktuel værdi
"FritidshusFFritidshus Strandgården Øst 54, Kastrup  4300 Holbæk",1.375.000 kr.,08-11-2025Alm. Salg,41 m² 33.537 kr/m²,3,1974,-14%,Aktuel værdi
"FritidshusFFritidshus Birkevej 29, Brøndum  9690 Fjerritslev",1.195.000 kr.,08-11-2025Alm. Salg,87 m² 13.736 kr/m²,4,2000,-4%,Aktuel værdi
VillaVVilla Teglgade 50B  8643 Ans By,1.490.000 kr.,08-11-2025Alm. Salg,125 m² 11.920 kr/m²,4,1981,,Aktuel værdi
"VillaVVilla Hornsherredvej 194, Lyndby  4070 Kirke Hyllinge",3.361.750 kr.,08-11-2025Fam. Salg,140 m² 24.013 kr/m²,6,1986,,Aktuel værdi
"FritidshusFFritidshus Harerenden 54, Lønstrup  9800 Hjørring",2.075.000 kr.,08-11-2025Alm. Salg,70 m² 29.643 kr/m²,3,2007,-5%,Aktuel værdi
"RækkehusRRækkehus Dampmøllegade 4, Rønne  3700 Rønne",1.150.000 kr.,08-11-2025Alm. Salg,123 m² 9.350 kr/m²,3,1889,-18%,Aktuel værdi
FritidshusFFritidshus Pernillevej 7  9480 Løkken,1.200.000 kr.,08-11-2025Alm. Salg,86 m² 13.953 kr/m²,4,1984,,Aktuel værdi
"FritidshusFFritidshus Klitdalen 29, Houvig  6950 Ringkøbing",2.975.000 kr.,08-11-2025Alm. Salg,120 m² 24.792 kr/m²,4,2011,-4%,Aktuel værdi
VillaVVilla Vindrosen 1  5900 Rudkøbing,1.900.000 kr.,08-11-2025Fam. Salg,141 m² 13.475 kr/m²,5,1975,,Aktuel værdi
"FritidshusFFritidshus Strandskadevej 5, Store Sjørup  8950 Ørsted",1.400.000 kr.,08-11-2025Alm. Salg,132 m² 10.606 kr/m²,5,1987,-6%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Sabroesvej 17E, st. tv  3000 Helsingør",1.295.000 kr.,08-11-2025Alm. Salg,55 m² 23.545 kr/m²,2,1946,,Aktuel værdi
"FritidshusFFritidshus Tjurvej 15, Henne Strand  6854 Henne",1.854.400 kr.,08-11-2025Fam. Salg,86 m² 21.563 kr/m²,5,1982,,Aktuel værdi
VillaVVilla Højdevangs Allé 18  2300 København S,13.000.000 kr.,08-11-2025Alm. Salg,190 m² 68.421 kr/m²,7,1923,0%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Hørsholm Park 2, 1. th  2970 Hørsholm",3.100.000 kr.,08-11-2025Alm. Salg,115 m² 26.957 kr/m²,4,1969,-11%,Aktuel værdi
"FritidshusFFritidshus Anneksvej 14, Skallerup Klit  9800 Hjørring",3.275.000 kr.,08-11-2025Alm. Salg,75 m² 43.667 kr/m²,4,1971,-6%,Aktuel værdi
"LandejendomLLandejendom Hellerupvej 49, Herrested  5853 Ørbæk",950.000 kr.,08-11-2025Fam. Salg,222 m² 4.279 kr/m²,6,1919,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Dronningens Tværgade 37, 7. 3  1302 København K",8.600.000 kr.,08-11-2025Alm. Salg,99 m² 86.869 kr/m²,3,1943,-2%,Aktuel værdi
"EjerlejlighedEEjerlejlighed P.P. Ørums Gade 22, 1. tv  8000 Aarhus C",3.098.000 kr.,08-11-2025Alm. Salg,69 m² 44.899 kr/m²,2,1934,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Rantzausgade 31, 3. th  9000 Aalborg",1.550.000 kr.,08-11-2025Alm. Salg,80 m² 19.375 kr/m²,3,1902,-2%,Aktuel værdi
"FritidshusFFritidshus Sivbjerg 20, Nr Lyngvig  6960 Hvide Sande",1.325.000 kr.,08-11-2025Alm. Salg,104 m² 12.740 kr/m²,4,1973,-8%,Aktuel værdi
"FritidshusFFritidshus Nordsø Ferievej 5, Klegod  6950 Ringkøbing",747.000 kr.,08-11-2025Fam. Salg,60 m² 12.450 kr/m²,3,1972,,Aktuel værdi
VillaVVilla Bartoftevej 1  4900 Nakskov,405.000 kr.,08-11-2025Alm. Salg,140 m² 2.893 kr/m²,7,1900,-14%,Aktuel værdi
EjerlejlighedEEjerlejlighed Nordre Pakhusvej 39  3600 Frederikssund,3.975.000 kr.,08-11-2025Alm. Salg,102 m² 38.971 kr/m²,5,2004,,Aktuel værdi
VillaVVilla Gjesingsvinget 4  6715 Esbjerg N,2.748.000 kr.,08-11-2025Alm. Salg,139 m² 19.770 kr/m²,4,1964,,Aktuel værdi
VillaVVilla Klitvej 14  2680 Solrød Strand,5.500.000 kr.,07-11-2025Alm. Salg,142 m² 38.732 kr/m²,4,1973,-15%,Aktuel værdi
FritidshusFFritidshus Møllevangsvej 66  3300 Frederiksværk,1.174.400 kr.,07-11-2025Fam. Salg,50 m² 23.488 kr/m²,3,2006,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Bjergbanksvej 2, 1. 4  5500 Middelfart",825.000 kr.,07-11-2025Alm. Salg,71 m² 11.620 kr/m²,2,1966,-8%,Aktuel værdi
"VillaVVilla Spurvevænget 22, Hjerting  6710 Esbjerg V",2.350.000 kr.,07-11-2025Alm. Salg,135 m² 17.407 kr/m²,4,1969,-10%,Aktuel værdi
RækkehusRRækkehus Snogekær 25T  3630 Jægerspris,1.736.800 kr.,07-11-2025Alm. Salg,112 m² 15.507 kr/m²,4,2007,,Aktuel værdi
VillaVVilla J P Nielsens Vej 4  7160 Tørring,1.075.000 kr.,07-11-2025Alm. Salg,79 m² 13.608 kr/m²,3,1961,-4%,Aktuel værdi
"VillaVVilla Vandværksvej 9B, Hornum  9600 Aars",965.000 kr.,07-11-2025Alm. Salg,173 m² 5.578 kr/m²,5,1930,-3%,Aktuel værdi
"VillaVVilla Lærkevang 6, Grindsted By  7200 Grindsted",912.000 kr.,07-11-2025Alm. Salg,109 m² 8.367 kr/m²,3,1931,-8%,Aktuel værdi
VillaVVilla Nordfeldvej 9  3300 Frederiksværk,1.630.000 kr.,07-11-2025Alm. Salg,100 m² 16.300 kr/m²,4,1960,-3%,Aktuel værdi
VillaVVilla Vestre Alle 19  9530 Støvring,2.800.000 kr.,07-11-2025Alm. Salg,130 m² 21.538 kr/m²,4,1973,-3%,Aktuel værdi
VillaVVilla Sønderkær 11  7870 Roslev,272.850 kr.,07-11-2025Fam. Salg,132 m² 2.067 kr/m²,4,1877,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Prins Constantins Vej 7, 2. th  2000 Frederiksberg",5.250.000 kr.,07-11-2025Alm. Salg,73 m² 71.918 kr/m²,2,1936,1%,Aktuel værdi
FritidshusFFritidshus Hesselhøj 8  3210 Vejby,4.999.999 kr.,07-11-2025Alm. Salg,115 m² 43.478 kr/m²,4,2023,,Aktuel værdi
FritidshusFFritidshus Koglevej 1B  4500 Nykøbing Sj,3.890.000 kr.,07-11-2025Alm. Salg,124 m² 31.371 kr/m²,5,2024,-3%,Aktuel værdi
"VillaVVilla Smedegade 91, Ørting  8300 Odder",2.625.000 kr.,07-11-2025Alm. Salg,179 m² 14.665 kr/m²,6,2008,,Aktuel værdi
VillaVVilla Bakkevej 24  9530 Støvring,2.830.000 kr.,07-11-2025Alm. Salg,222 m² 12.748 kr/m²,6,1961,-6%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Vølundsgade 29, 3. th  2200 København N",4.650.000 kr.,07-11-2025Alm. Salg,74 m² 62.838 kr/m²,3,1905,,Aktuel værdi
"FritidshusFFritidshus Trinnesvej 15, Bolilmark  6792 Rømø",1.284.000 kr.,07-11-2025Fam. Salg,70 m² 18.343 kr/m²,4,1971,,Aktuel værdi
VillaVVilla Julivej 14  9270 Klarup,3.460.000 kr.,07-11-2025Alm. Salg,199 m² 17.387 kr/m²,5,1900,-1%,Aktuel værdi
"VillaVVilla Bavnebjerg 60, Nordby  6720 Fanø",1.525.000 kr.,07-11-2025Alm. Salg,128 m² 11.914 kr/m²,5,1983,-9%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Østbanetorvet 4, st. th  8000 Aarhus C",2.120.000 kr.,07-11-2025Alm. Salg,61 m² 34.754 kr/m²,2,1895,-4%,Aktuel værdi
"FritidshusFFritidshus Birkehøj 4, Vestervang  4583 Sjællands Odde",1.065.000 kr.,07-11-2025Alm. Salg,35 m² 30.429 kr/m²,2,1966,-5%,Aktuel værdi
VillaVVilla Nordens Alle 14  9850 Hirtshals,795.000 kr.,07-11-2025Alm. Salg,135 m² 5.889 kr/m²,4,1987,,Aktuel værdi
VillaVVilla Enghavevej 7  5230 Odense M,4.025.000 kr.,06-11-2025Alm. Salg,106 m² 37.972 kr/m²,5,1918,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Munkensvej 12, 3. th  2000 Frederiksberg",2.672.000 kr.,06-11-2025Fam. Salg,70 m² 38.171 kr/m²,2,1911,,Aktuel værdi
"FritidshusFFritidshus Pilevangen 28, Lystrup  3550 Slangerup",2.500.000 kr.,06-11-2025Alm. Salg,107 m² 23.364 kr/m²,5,2000,-17%,Aktuel værdi
VillaVVilla Stenstrupvænget 11  3100 Hornbæk,6.225.000 kr.,06-11-2025Alm. Salg,154 m² 40.422 kr/m²,5,2025,-2%,Aktuel værdi
"VillaVVilla Øster Nørbyvej 5, Fjaltring  7620 Lemvig",1.400.000 kr.,06-11-2025Alm. Salg,83 m² 16.867 kr/m²,2,1924,,Aktuel værdi
RækkehusRRækkehus Bygrænsen 31  2770 Kastrup,4.700.000 kr.,06-11-2025Alm. Salg,81 m² 58.025 kr/m²,3,1964,-2%,Aktuel værdi
"VillaVVilla Næsdal 40A, Lammefjorden  4550 Asnæs",6.000.000 kr.,06-11-2025Andet,169 m² 35.503 kr/m²,5,1969,,Aktuel værdi
"VillaVVilla Nibevej 114, tv  9200 Aalborg SV",1.200.000 kr.,06-11-2025Alm. Salg,59 m² 20.339 kr/m²,2,1950,-7%,Aktuel værdi
VillaVVilla Skovvej 7  9575 Terndrup,630.000 kr.,06-11-2025Alm. Salg,79 m² 7.975 kr/m²,3,1957,,Aktuel værdi
RækkehusRRækkehus Martin A Hansens Vej 36A  8660 Skanderborg,2.375.000 kr.,06-11-2025Alm. Salg,91 m² 26.099 kr/m²,4,1981,-3%,Aktuel værdi
"FritidshusFFritidshus Gl Kongevej 59, Roe  8643 Ans By",1.600.000 kr.,06-11-2025Alm. Salg,111 m² 14.414 kr/m²,4,2004,-6%,Aktuel værdi
"VillaVVilla Vesterled 7, Ølsted  8723 Løsning",1.050.000 kr.,06-11-2025Alm. Salg,156 m² 6.731 kr/m²,7,1971,-3%,Aktuel værdi
"VillaVVilla Hedemosen 32, Gyrstinge  4100 Ringsted",4.950.000 kr.,06-11-2025Alm. Salg,221 m² 22.398 kr/m²,6,2009,1%,Aktuel værdi
"FritidshusFFritidshus Bjerregårdsvej 67, Bjerregaard  6960 Hvide Sande",2.350.000 kr.,06-11-2025Alm. Salg,117 m² 20.085 kr/m²,5,1964,-2%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Hovedvejen 235, 1. tv, Osted  4320 Lejre",11.339.169 kr.,06-11-2025Andet,68 m² 166.752 kr/m²,2,1865,,Aktuel værdi
